log-nAddSell-addBuyTurnover             : -0.01825399234421795
addBuyTurnover-nCxlBuy                  : 0.018250168538293872
log-addBuyTurnover-nCxlBuy              : 0.01823148889259042
log-nCxlBuy-addBuyTurnover              : -0.01823148889259042
tradeBuyQty-nCxlBuy                     : 0.018223119436636463
log-addBuyQty-btr10_19                  : 0.018212078985255724
log-btr10_19-addBuyQty                  : -0.018212078985255724
log-addBuyHigh-nAddBuy                  : -0.018140411007781843
log-nAddBuy-addBuyHigh                  : 0.018140411007781836
log-atr10_19-btr0_4                     : -0.0181179221025439
log-btr0_4-atr10_19                     : 0.0181179221025439
log-addBuyQty-addSellLow                : 0.01811285287449265
log-addSellLow-addBuyQty                : -0.01811285287449265
log-nTradeBuy-addSellLow                : 0.01808369644283148
log-addSellLow-nTradeBuy                : -0.018083696442831473
nCxlSell-addSellLow                     : 0.018043412182671584
log-tradeBuyQty-addSellTurnover         : 0.017983951658931577
log-addSellTurnover-tradeBuyQty         : -0.017983951658931574
log-bsize0-asize10_19                   : 0.01792105754784419
log-asize10_19-bsize0                   : -0.01792105754784419
log-sellVwad-nTradeBuy                  : -0.017854341468500873
log-nTradeBuy-sellVwad                  : 0.017854341468500873
log-bsize0-atr10_19                     : 0.017850267075446187
log-atr10_19-bsize0                     : -0.017850267075446187
log-btr10_19-tradeBuyQty                : -0.017834706179094228
log-tradeBuyQty-btr10_19                : 0.017834706179094224
log-nAddBuy-tradeBuyLow                 : 0.01774910235940736
log-tradeBuyLow-nAddBuy                 : -0.01774910235940736
log-tradeBuyHigh-nAddBuy                : -0.01773525717275246
log-nAddBuy-tradeBuyHigh                : 0.01773525717275246
log-addSellLow-addBuyTurnover           : -0.017717776958533795
log-addBuyTurnover-addSellLow           : 0.017717776958533788
log-nTradeBuy-atr0_4                    : 0.01771108554049344
log-atr0_4-nTradeBuy                    : -0.01771108554049344
log-nTradeBuy-addSellHigh               : 0.017629310436386814
log-addSellHigh-nTradeBuy               : -0.017629310436386807
log-tradeBuyQty-addSellHigh             : 0.017466756862437146
log-addSellHigh-tradeBuyQty             : -0.017466756862437142
log-tradeSellLow-tradeBuyQty            : -0.017457814119886433
log-tradeBuyQty-tradeSellLow            : 0.017457814119886433
log-tradeSellHigh-tradeBuyQty           : -0.017449896141848602
log-tradeBuyQty-tradeSellHigh           : 0.0174498961418486
log-tradeBuyTurnover-atr10_19           : 0.017441867882214204
log-atr10_19-tradeBuyTurnover           : -0.0174418678822142
